Disease,Category,N,Events,Median follow-up (yr),DeepDXA + cov C-index,DeepDXA + cov SE,DINOv3 + cov C-index,DINOv3 + cov SE,DXA Tabular + cov C-index,DXA Tabular + cov SE,Covariates C-index,Covariates SE,DeepDXA vs DINOv3 + cov: raw p,DeepDXA vs DINOv3 + cov: FDR q,DeepDXA vs DXA Tabular + cov: raw p,DeepDXA vs DXA Tabular + cov: FDR q,DeepDXA vs Covariates: raw p,DeepDXA vs Covariates: FDR q,Significant vs Tabular (FDR q<0.05)
Osteoporosis,Musculoskeletal,25068,159,4.32,0.7889172053722697,0.0112863359566602,0.7807557894958308,0.0137061104733513,0.7916500519543062,0.0114910744490041,0.7551478015077302,0.0116843848860272,0.275390625,0.48193359375,0.6953125,0.730078125,0.00390625,0.013671875,False
Hip Arthrosis,Musculoskeletal,25784,288,4.31,0.7576056697017832,0.0080550272561935,0.6729187515135222,0.0095213301644319,0.6328876219408117,0.0140939224449172,0.6196656508386867,0.0126727564208727,0.001953125,0.0205078125,0.001953125,0.01025390625,0.001953125,0.008203125,True
Knee Arthrosis,Musculoskeletal,24634,285,4.32,0.7436859601862627,0.0057005303104853,0.7162312004377516,0.0057322242735797,0.6769297784028755,0.0047407352681686,0.6712390868165979,0.0038070134842679,0.001953125,0.0205078125,0.001953125,0.01025390625,0.001953125,0.008203125,True
Spondylopathy,Musculoskeletal,25355,113,4.32,0.6991800767671321,0.01467126788724,0.6997245674372217,0.0149997561678601,0.6819352325075083,0.0192702614893835,0.6939000013136803,0.0152885328284113,0.6953125,0.8505345394736842,0.037109375,0.0599459134615384,0.16015625,0.210205078125,False
Arthrosis,Musculoskeletal,22481,422,4.3,0.6594238945951545,0.0129443012741022,0.6508770393738403,0.0138016356982168,0.649736570605286,0.012642968632908,0.6435642589592103,0.0123641920750451,0.037109375,0.155859375,0.005859375,0.0205078125,0.001953125,0.008203125,True
Intervertebral Disk Disease,Musculoskeletal,24551,134,4.31,0.5919814659420085,0.0203736660370503,0.5987530866081423,0.0208601740520661,0.5895963805575188,0.0216134425492259,0.5903799384693957,0.0209317351116996,0.130859375,0.3053385416666667,1.0,1.0,1.0,1.0,False
Type 2 Diabetes,Metabolic,24853,252,4.31,0.7526923078111001,0.0072631555704013,0.7522534203493078,0.009725273325641,0.7205360518186887,0.0078528912876596,0.7217626396425467,0.007901404924852,0.921875,0.921875,0.001953125,0.01025390625,0.001953125,0.008203125,True
Hypothyroidism,Metabolic,24263,117,4.32,0.644623965744828,0.0149046849935457,0.6409540665184398,0.0136659961750051,0.639327834221807,0.0151064341760174,0.6403387604627585,0.0153350760598319,0.76953125,0.8505345394736842,0.01953125,0.041015625,0.037109375,0.06494140625,True
Heart Failure,Cardiovascular,25762,184,4.32,0.7662032785817823,0.0073909489882156,0.7691327837673041,0.0076145095236387,0.7628107644781145,0.0083125139063099,0.764592453226752,0.0083526258268817,0.431640625,0.6474609375,0.375,0.4632352941176471,0.6953125,0.730078125,False
Atrial Fibrillation,Cardiovascular,25003,400,4.31,0.7402473385896469,0.0058975309349054,0.7407986699039496,0.0061454400672611,0.7341876044612452,0.0065704970004056,0.7345869664027538,0.0062064621817185,0.76953125,0.8505345394736842,0.02734375,0.0522017045454545,0.013671875,0.0319010416666666,False
Ischaemic Heart Disease,Cardiovascular,24694,437,4.31,0.6913983402414754,0.005806066372451,0.6973621747161263,0.0046365023703923,0.6874306343466604,0.0057067885780611,0.6881269158995472,0.0056307820661068,0.064453125,0.2255859375,0.001953125,0.01025390625,0.001953125,0.008203125,True
Angina Pectoris,Cardiovascular,24880,209,4.31,0.6804498443502256,0.009959370756379,0.6797825224902239,0.0102967671473378,0.6773108111418801,0.0102093240281729,0.6785503966298583,0.0101601259345808,0.4921875,0.6890625,0.232421875,0.3050537109375,0.322265625,0.3759765625,False
Myocardial Infarction,Cardiovascular,25314,167,4.32,0.6592934420733921,0.0120405000354663,0.6595302732892162,0.0119121343066392,0.657464656416088,0.0123561604400078,0.659099781399181,0.0121194620894775,0.6953125,0.8505345394736842,0.193359375,0.270703125,0.322265625,0.3759765625,False
COPD,Respiratory,25450,101,4.32,0.6933982772117495,0.011395160539808,0.6836741272094737,0.0129390591708405,0.6781614549163575,0.0136581216331525,0.6781304708977949,0.013586623020855,0.083984375,0.251953125,0.009765625,0.029296875,0.009765625,0.029296875,True
Chronic Renal Failure,Hepatic & Renal,25408,250,4.31,0.7444176594426386,0.0064513704991358,0.7435180701316452,0.0059904348281955,0.7415850967365,0.0065259498951939,0.7423973253727358,0.006676597080347,0.375,0.6057692307692307,0.048828125,0.0732421875,0.10546875,0.158203125,False
Acute Renal Failure,Hepatic & Renal,25777,219,4.32,0.7177151188210863,0.0132073357580252,0.7214882896598469,0.0132275084641088,0.7150510276085853,0.0133313728729005,0.7152875946359407,0.0129968379768436,0.10546875,0.27685546875,0.4921875,0.57421875,0.625,0.6907894736842105,False
Liver Disease,Hepatic & Renal,25608,206,4.31,0.6770584527697804,0.0118148937785057,0.671100074622272,0.0122766477727447,0.6713037916195006,0.0118777287999823,0.6709064769509603,0.0119554552901781,0.01953125,0.1025390625,0.037109375,0.0599459134615384,0.01953125,0.041015625,False
Cerebral Infarction,Neurological,25785,119,4.32,0.6529291655229141,0.0185017268176685,0.6553366810911023,0.0185689270975227,0.653908851932863,0.0188168556980217,0.655359148369323,0.0185868162251081,0.16015625,0.336328125,0.556640625,0.615234375,0.16015625,0.210205078125,False
All-Cause Death,Mortality,25945,275,3.71,0.7170945430895521,0.0042364629037136,0.7338169276922126,0.0051236615838103,0.7150396973647578,0.0039998180079354,0.7153862920469178,0.0039595106606205,0.009765625,0.068359375,0.005859375,0.0205078125,0.02734375,0.0522017045454545,True
Cancer Death,Mortality,25945,148,3.71,0.7166642872701428,0.0119329329232924,0.7169928208138557,0.011329872089992,0.7155596141450522,0.0118322269274061,0.7158197981611581,0.0117962444011884,0.845703125,0.8879882812500001,0.013671875,0.0319010416666666,0.013671875,0.0319010416666666,True
